Column1;questions;smartvote_answers;Simplified question;Unnamed: 3;Topic;Keywords;binary_smarvote_answer;huggingface_answers;cami_answers
0;tes-vous favorable à une hausse de l'âge de la retraite (p. ex. à 67 ans;1;''Are you in favour of raising the retirement age?'';;Family;"pension; AHV; AVS";1;{'score': 0.11170733720064163, 'start': 321, 'end': 407, 'answer': 'Asking for something unrealistic by sticking hands to the tar is not very constructive'};2
1;'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familia;3;''Should the state support childcare? '';;Family;"benefit; childcare; nursery";0;{'score': 0.0915219858288765, 'start': 321, 'end': 407, 'answer': 'Asking for something unrealistic by sticking hands to the tar is not very constructive'};2
2;ne initiative demande l'instauration d'un congé paternité payé de quatre semaines. Êtes-vous en faveur de cette propositio;1;''Are you in favour of a paternity leave?'';;Family;"paternity; leave ";1;{'score': 0.07459041476249695, 'start': 321, 'end': 407, 'answer': 'Asking for something unrealistic by sticking hands to the tar is not very constructive'};2
3;es rentes de la caisse de pension doivent-elles être adaptées à l'allongement de l'espérance de vie (réduction du taux de conversion;1;''Should the finance state pension funds?'';;Family;"pension; life expectancy";1;{'score': 0.03930806368589401, 'start': 321, 'end': 407, 'answer': 'Asking for something unrealistic by sticking hands to the tar is not very constructive'};2
4;outenez-vous les efforts au niveau des cantons visant à réduire les prestations d'aide social;3;''Are you in favor of benefits?'';;Family;"benefits; social assistance";0;{'score': 0.04316568747162819, 'start': 321, 'end': 407, 'answer': 'Asking for something unrealistic by sticking hands to the tar is not very constructive'};2
5;a Confédération devrait-elle encourager davantage la construction de logements d'utilité publiqu;3;''Are you in favor of public housing?'';;Family;"social housing; construction; public housing";0;{'score': 0.2207994908094406, 'start': 321, 'end': 407, 'answer': 'Asking for something unrealistic by sticking hands to the tar is not very constructive'};2
6;es personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale);2;''Should the health insurance cost more'';;Health;"health cost; health care cost; premium";1;{'score': 0.039787426590919495, 'start': 2894, 'end': 2941, 'answer': 'it is the confederation that assures the prices'};0
7;pprouveriez-vous le principe du consentement présumé pour le don dorgane;2;''Is organ donation good?'';;Health;"organ; donation";1;{'score': 0.14415423572063446, 'start': 2428, 'end': 2451, 'answer': 'freedom of organization'};2
8;ne vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instauré;2;''Should vaccines be compulsory? '';;Health;"vaccine; vaccination";1;{'score': 0.033538222312927246, 'start': 1090, 'end': 1113, 'answer': 'Choose not to vaccinate'};2
9;ne initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette propositio;4;''Should health be proportional to your income?'';;Health;"insurance; premium; subsidies";0;{'score': 0.07606954872608185, 'start': 1765, 'end': 1793, 'answer': 'the balance is not as simple'};2
10;ne initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette propositio;2;''Should health care costs be reduced?'';;Health;"cost brake; health care cost";1;{'score': 0.05137499421834946, 'start': 2543, 'end': 2561, 'answer': 'premium reductions'};1
11;État devrait-il davantage sengager pour une égalité des chances en matière de formation (p. ex. par des cours de rattrapage subventionnés destinés aux élèves issus de familles à faible revenu;2;''Should we care about education opportunities?'';;Education;"education opportunities; subsidies; courses";1;"{'score': 0.012130986899137497, 'start': 706, 'end': 756, 'answer': ""the state must take care of the child\\'s education""}";1
12;ensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle;4;''Should schools exempts classes?'';;Education;"religion; sex education";0;{'score': 9.039683391165454e-06, 'start': 111, 'end': 136, 'answer': 'Suspend digital education'};2
13;a Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnell;1;''Should education have more funding?'';;Education;"education support; reconversion";1;{'score': 0.0002026167931035161, 'start': 111, 'end': 156, 'answer': 'Suspend digital education is not the solution'};2
14;e concept de l'école intégrative prévoit que les enfants ayant des difficultés d'apprentissage ou des handicaps soient scolarisé·e·s dans des classes ordinaires. Soutenez-vous cette approch;3;''Do you support inclusive schools?'';;Education;"learning; school; disabilities";0;{'score': 5.255831638351083e-06, 'start': 111, 'end': 156, 'answer': 'Suspend digital education is not the solution'};2
15;eriez-vous favorable à ce que le droit de vote et d'élection soit introduit au niveau communal pour les personnes étrangères qui résident en Suisse depuis au moins dix ans;1;'Should foreigners vote?'';;Immigration;"vote; resident; communal elections";1;{'score': 0.025326615199446678, 'start': 1168, 'end': 1178, 'answer': 'bilaterals'};2
16;a limitation de l'immigration a-t-elle pour vous la priorité sur le maintien des accords bilatéraux avec l'U;4;''Should we limit immigration from EU?'';;Immigration;"bilateral; EU; immigration";0;{'score': 0.04966086894273758, 'start': 1392, 'end': 1424, 'answer': 'To bury the framework agreements'};2
17;es personnes sans-papiers devraient-elles pouvoir obtenir plus facilement un statut de séjour régularis;3;''Should undocumented migrants receive a status?'';;Immigration;"undocumented; residence; migrants";0;{'score': 0.015131978318095207, 'start': 1392, 'end': 1466, 'answer': 'To bury the framework agreements without asking the question to Parliament'};2
18;tes-vous en faveur d'un durcissement supplémentaire du droit à l'asil;3;''Are you in favor of asylum?'';;Immigration;asylum;0;{'score': 0.05510793253779411, 'start': 96, 'end': 127, 'answer': 'If I have decided to be present'};2
19;es conditions de naturalisation devraient-elles être revues à la hauss;3;''Should the conditions for naturaliation be increased?'';;Immigration;naturalisation;0;{'score': 0.014330481179058552, 'start': 1168, 'end': 1222, 'answer': 'bilaterals are excellent and that they must be pursued'};2
20;a Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégratio;2;"""Should we support foreigner integration?""";;Immigration;integration;1;{'score': 0.0269890446215868, 'start': 905, 'end': 924, 'answer': 'European solidarity'};2
21;a consommation de cannabis devrait-elle être légalisée;2;"""Should cannabis be legal?""";;Society;cannabis;1;{'score': 0.0007217696984298527, 'start': 264, 'end': 268, 'answer': '1848'};2
22;es couples de même sexe devraient-ils avoir les mêmes droits dans tous les domaines que les couples hétérosexuel;2;"""Do we believe in homosexuality equality?""";;Society;"homosexual; gay";1;{'score': 0.0028903158381581306, 'start': 264, 'end': 268, 'answer': '1848'};2
23;a réglementation de la procréation médicalement assistée devrait-elle être assoupli;2;' Should the regulation of assisted reproduction be relaxed?'';;Society;reproducation;1;{'score': 0.0027661933563649654, 'start': 170, 'end': 209, 'answer': 'is not bound by the observance of rules'};2
24;tes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femme;2;"""Do you support stricter control of equal pay for men and women?''";;Society;"equal; salaries";1;{'score': 0.0020049556624144316, 'start': 264, 'end': 268, 'answer': '1848'};2
25;eriez-vous favorable à ce qu'un médecin soit autorisé à administrer l'euthanasie active directe en Suiss;1;"""Should euthanasia be legal?""";;Society;"doctor; euthanasia ";1;{'score': 0.011976598761975765, 'start': 264, 'end': 268, 'answer': '1848'};2
26;elon vous, la baisse des impôts au niveau fédéral représente-elle une priorité pour les quatre prochaines année;1;"""Should we lower taxes?""";;Finances;taxes;1;{'score': 0.021262453868985176, 'start': 930, 'end': 950, 'answer': 'Lower personal taxes'};1
27;tes-vous en faveur d'une nouvelle réduction des contributions versées par les cantons financièrement forts aux cantons financièrement faibles dans le cadre de la péréquation financièr;2;"""Should cantons support each other?""";;Finances;financial equalisation ;1;{'score': 0.0038620545528829098, 'start': 268, 'end': 296, 'answer': 'campaigning on the same list'};1
28;es couples mariés devraient-ils être imposés en tant que personnes individuelles (imposition individuelle;1;"""Do you believe in individual taxation?""";;Finances;"individual taxation; married";1;{'score': 0.006144154351204634, 'start': 829, 'end': 872, 'answer': 'individual taxation is what we need to hear'};1
29;tes-vous en faveur d'une restriction de la concurrence entre les cantons en matière d'imposition des entreprise;4;"""Are you in favor of restricting competition between cantons in the area of corporate taxation?''";;Finances;company taxation;0;{'score': 0.0007431248086504638, 'start': 449, 'end': 463, 'answer': 'Vaudois yes...'};1
30;es ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité);2;"""Should we be a able to choose their electricity supplier?""";;Economy;electricity;1;{'score': 0.009025088511407375, 'start': 182, 'end': 253, 'answer': 'we must go as far as is necessary to participate in the European market'};2
31;tes-vous favorable à l'introduction d'un salaire minimum de 4000 CHF pour toutes les personnes salariées pour un poste à plein temp;4;"""Are you in favor of a minimum wage?""";;Economy;wage;0;{'score': 1.8555701899458654e-05, 'start': 22, 'end': 97, 'answer': 'The liberalisation of the electricity market is a condition for Switzerland'};2
32;es entreprises suisses devraient-elles être mieux être protégées du risque de rachat par des investisseurs étrangers en introduisant des contrôles sur les investissements;3;"""Should we protect Swiss companies from foreign takeovers?""";;Economy;"FDI; investement controls; takeovers";0;{'score': 0.0006703356048092246, 'start': 182, 'end': 253, 'answer': 'we must go as far as is necessary to participate in the European market'};2
33;eriez-vous favorable à une libéralisation complète des heures d'ouverture des magasin;1;"""Should stores choose their opening hours?""";;Economy;"opening hours; shops";1;{'score': 2.1726433260482736e-05, 'start': 182, 'end': 253, 'answer': 'we must go as far as is necessary to participate in the European market'};2
34;aut-il renforcer la protection contre le licenciement des travailleuses et travailleurs plus âgé·e·s;3;"""Should the protection against dismissal of older workers be strengthened? ''";;Economy;"dismissal; workers";0;{'score': 1.015427005768288e-05, 'start': 1577, 'end': 1647, 'answer': 'It is not necessary to limit the scope of manoeuvre of public services'};2
35;a Confédération devrait-elle davantage soutenir l'offre des services publics (p. ex. transports publics, poste) dans les régions rurale;4;"""Should we support public services in rural areas?""";;Economy;"public services; post office";0;{'score': 0.05695730447769165, 'start': 1577, 'end': 1647, 'answer': 'It is not necessary to limit the scope of manoeuvre of public services'};2
36;'expansion du réseau mobile selon la norme 5G doit-elle se poursuivre;1;"""Should we expand our 5G network?""";;Digitalisation;5G;1;{'score': 0.0003288485750090331, 'start': 21, 'end': 25, 'answer': 'Uber'};2
37;"es plateformes de services en ligne (p. ex. hébergement ""Airbnb"" ou taxis ""Uber"") devraient-elles être réglementées plus strictemen";3;"""Should we regulate online platforms?""";;Digitalisation;"Uber; Airbnb; online";0;{'score': 0.0002314034354640171, 'start': 21, 'end': 25, 'answer': 'Uber'};2
38;ne initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette propositio;1;"""Do you want to stop using fossil fuels?''";;Energy;"fossil; 2050; fuel";1;{'score': 0.28347542881965637, 'start': 2057, 'end': 2076, 'answer': 'if we want 0 carbon'};1
39;ctuellement, une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence, diesel, etc.;1;"""Should fuel be taxed?""";;Energy;"C02; natural gas";1;{'score': 0.2358008325099945, 'start': 1745, 'end': 1793, 'answer': 'The solution cannot be to subsidise fossil fuels'};2
40;a Confédération devrait-elle soutenir davantage les énergies renouvelable;1;"""Should we support renewable energies?""";;Energy;"renewable; energy";1;{'score': 0.06443707644939423, 'start': 1745, 'end': 1793, 'answer': 'The solution cannot be to subsidise fossil fuels'};2
41;es tronçons autoroutiers à forte fréquentation devraient-ils être étendus à six voie;4;"""Should high-traffic highway sections be extended to six lanes?''";;Energy;"motorway; lanes";0;{'score': 0.015157103538513184, 'start': 2946, 'end': 2949, 'answer': 'now'};1
42;"tes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentée";2;"""Do you support the introduction of road pricing on busy roads?""";;Energy;road pricing;1;{'score': 0.05972971394658089, 'start': 2763, 'end': 2782, 'answer': 'less road to dampen'};2
43;tes-vous favorable à un assouplissement des mesures actuelles de protection des grands prédateurs (lynx, loup, ours;4;"""'Are you in favor of relaxing the current protection measures for large predators?''";;Ecology;"predators; lynx; wolf; bears";0;{'score': 0.0015425627352669835, 'start': 190, 'end': 224, 'answer': 'saying yes to the early tax reform'};2
44;e moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 202;1;'Should the current moratorium on genetically modified plants and animals be extended?'';;Ecology;"plants; genetically modified ";1;{'score': 0.0001221363345393911, 'start': 1, 'end': 53, 'answer': 'Capitalism is not the cause of the ecological crisis'};2
45;es paiements directs devraient-ils être accordés qu'aux exploitations agricoles qui fournissent un bilan écologique étendu (p. ex. renoncement à l'utilisation des pesticides de synthèse et limitation de l'utilisation d'antibiotiques;2;"'Should direct payments only be granted to farms that provide an ecological balance sheet ?""";;Ecology;"ecological; farms; pesticides";1;{'score': 0.0003364419098943472, 'start': 818, 'end': 837, 'answer': 'ecological taxation'};2
46;aut-il étendre les mesures de protection de la biodiversité (p. ex. des règles plus strictes pour la construction en dehors des zones à bâtir existantes;2;"""Should biodiversity protection measures be extended?""";;Ecology;biodiversity;1;{'score': 0.00011242137406952679, 'start': 818, 'end': 837, 'answer': 'ecological taxation'};2
47;tes-vous en faveur de réglementations plus strictes de la protection des animaux pour la détention d'animaux de rente (p. ex. l'accès permanent aux espaces extérieurs;2;"""Do you support stricter animal protection regulations for keeping livestock?"" ";;Ecology;"animal protection; livestock";1;{'score': 2.3573385988129303e-05, 'start': 1, 'end': 53, 'answer': 'Capitalism is not the cause of the ecological crisis'};2
48;e financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent;2;""" Should campaign financing be transparent? ''";;Politics;"campaign funding; transparency;";1;{'score': 0.07551321387290955, 'start': 222, 'end': 247, 'answer': 'more transparency is good'};1
49;'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivi;3;"""Do you support e-voting?""";;Politics;"e-voting; votes";0;{'score': 0.0019370784284546971, 'start': 43, 'end': 49, 'answer': 'public'};2
50;tes-vous en faveur de l'abaissement de l'âge de vote à 16 an;3;"""Should voting at 16 be allowed""";;Politics;"voting age; 16";0;{'score': 2.1718137759307865e-06, 'start': 547, 'end': 602, 'answer': 'I will let you look for my position, since it is public'};2
51;a Suisse devrait-elle mettre fin à l'accord de Schengen avec l'UE et réintroduire davantage de contrôles directement aux frontière;4;"""Should Switzerland end Shengen?""";;Security;"border control; schengen";0;{'score': 0.07756892591714859, 'start': 1371, 'end': 1400, 'answer': 'establishment of a moratorium'};2
52;aut-il renoncer au durcissement des conditions d'admission au service civil proposé par le Conseil fédéra;2;"'Should the Federal Council's proposed tightening of the conditions for admission to civilian service be abandoned?""";;Security;civil service;1;"{'score': 0.08994095772504807, 'start': 3511, 'end': 3533, 'answer': ""let's stop negotiating""}";2
53;aut-il interdire l'exportation de matériel de guerre produit en Suisse;3;"""Should we export war material?""";;Security;"war material; weapons";0;{'score': 0.29770198464393616, 'start': 5292, 'end': 5343, 'answer': 'aucoeudeleuropeSelling weapons to warring countries'};2
54;tes-vous favorable à l'acquisition de nouveaux avions de combat pour l'armée suisse;2;"""Are you in favor of acquiring new fighter aircraft ? ''";;Security;"aircraft; swiss army";1;{'score': 0.2815805971622467, 'start': 2765, 'end': 2796, 'answer': 'yes to the purchase of aircraft'};1
55;elon vous, les moyens légaux permettant de recourir à lanalyse ADN lors denquêtes devraient-ils être étendu;2;"""Should we do more DNA analysis?""";;Security;dann;1;{'score': 0.0485837422311306, 'start': 4148, 'end': 4211, 'answer': 'Artificial intelligence in weapons... is that really reasonable'};2
56;a Suisse doit-elle entamer des négociations d'adhésion à l'Union européenne;4;"""Should Switzerland enter the European Union?""";;external_relations;EU negotiations;0;{'score': 3.05831890727859e-05, 'start': 475, 'end': 531, 'answer': 'it is clear that the institutional agreement with the EU'};2
57;a Suisse devrait-elle conclure un accord de libre-échange avec les Etats-Unis;2;"""Should Switzerlad have a free trade agreement with the USA?""";;external_relations;"trade; USA ";1;{'score': 6.130673864390701e-05, 'start': 575, 'end': 653, 'answer': 'The Federal Council must be strongly committed to stable relations with the EU'};2
58;ne initiative demande que les règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger soient renforcées. Soutenez-vous cette proposition;4;"""Should Swiss companies have human rights and environmental standards?""";;external_relations;"human rights; environment";0;"{'score': 0.0004154235648456961, 'start': 1138, 'end': 1178, 'answer': ""doesn't support environmental conditions""}";2
59;tes-vous en faveur de la candidature de la Suisse à un siège au Conseil de sécurité de l'ON;1;"""Should Switzerland have a seat in the UN Security council?""";;external_relations;security council;1;{'score': 6.074860357330181e-05, 'start': 575, 'end': 653, 'answer': 'The Federal Council must be strongly committed to stable relations with the EU'};2
