Column1;questions;smartvote_answers;Simplified question;Unnamed: 3;Topic;Keywords;binary_smarvote_answer;huggingface_answers;cami_answer
0;tes-vous favorable à une hausse de l'âge de la retraite (p. ex. à 67 ans;1;''Are you in favour of raising the retirement age?'';;Family;"pension; AHV; AVS";1;{'score': 0.37359175086021423, 'start': 5570, 'end': 5588, 'answer': 'we seem reasonable'};2
1;'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familia;3;''Should the state support childcare? '';;Family;"benefit; childcare; nursery";0;{'score': 0.07512129098176956, 'start': 6856, 'end': 6868, 'answer': 'subsidiarity'};1
2;ne initiative demande l'instauration d'un congé paternité payé de quatre semaines. Êtes-vous en faveur de cette propositio;1;''Are you in favour of a paternity leave?'';;Family;"paternity; leave ";1;{'score': 0.24946582317352295, 'start': 5570, 'end': 5588, 'answer': 'we seem reasonable'};2
3;es rentes de la caisse de pension doivent-elles être adaptées à l'allongement de l'espérance de vie (réduction du taux de conversion;1;''Should the finance state pension funds?'';;Family;"pension; life expectancy";1;{'score': 0.18796247243881226, 'start': 8180, 'end': 8212, 'answer': 'in order to save its money doors'};2
4;outenez-vous les efforts au niveau des cantons visant à réduire les prestations d'aide social;3;''Are you in favor of benefits?'';;Family;"benefits; social assistance";0;{'score': 0.17169030010700226, 'start': 5570, 'end': 5588, 'answer': 'we seem reasonable'};2
5;a Confédération devrait-elle encourager davantage la construction de logements d'utilité publiqu;3;''Are you in favor of public housing?'';;Family;"social housing; construction; public housing";0;{'score': 0.43310239911079407, 'start': 5570, 'end': 5588, 'answer': 'we seem reasonable'};2
6;es personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale);2;''Should the health insurance cost more'';;Health;"health cost; health care cost; premium";1;{'score': 0.210253044962883, 'start': 6170, 'end': 6211, 'answer': 'the cost of inaction would be much higher'};2
7;pprouveriez-vous le principe du consentement présumé pour le don dorgane;2;''Is organ donation good?'';;Health;"organ; donation";1;{'score': 0.08147784322500229, 'start': 2671, 'end': 2710, 'answer': 'there is a legal basis for this support'};1
8;ne vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instauré;2;''Should vaccines be compulsory? '';;Health;"vaccine; vaccination";1;{'score': 0.024572717025876045, 'start': 8616, 'end': 8624, 'answer': 'biocides'};2
9;ne initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette propositio;4;''Should health be proportional to your income?'';;Health;"insurance; premium; subsidies";0;{'score': 0.08890785276889801, 'start': 7816, 'end': 7820, 'answer': 'risk'};2
10;ne initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette propositio;2;''Should health care costs be reduced?'';;Health;"cost brake; health care cost";1;{'score': 0.1520196944475174, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};2
11;État devrait-il davantage sengager pour une égalité des chances en matière de formation (p. ex. par des cours de rattrapage subventionnés destinés aux élèves issus de familles à faible revenu;2;''Should we care about education opportunities?'';;Education;"education opportunities; subsidies; courses";1;{'score': 0.12042591720819473, 'start': 5896, 'end': 5925, 'answer': 'to raise our economy is ready'};1
12;ensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle;4;''Should schools exempts classes?'';;Education;"religion; sex education";0;{'score': 0.03881082683801651, 'start': 5508, 'end': 5556, 'answer': 'you will have understood it to make an exception'};2
13;a Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnell;1;''Should education have more funding?'';;Education;"education support; reconversion";1;{'score': 0.03152203932404518, 'start': 6856, 'end': 6868, 'answer': 'subsidiarity'};2
14;e concept de l'école intégrative prévoit que les enfants ayant des difficultés d'apprentissage ou des handicaps soient scolarisé·e·s dans des classes ordinaires. Soutenez-vous cette approch;3;''Do you support inclusive schools?'';;Education;"learning; school; disabilities";0;{'score': 0.28976309299468994, 'start': 5570, 'end': 5588, 'answer': 'we seem reasonable'};2
15;eriez-vous favorable à ce que le droit de vote et d'élection soit introduit au niveau communal pour les personnes étrangères qui résident en Suisse depuis au moins dix ans;1;'Should foreigners vote?'';;Immigration;"vote; resident; communal elections";1;{'score': 0.3285607397556305, 'start': 6885, 'end': 6905, 'answer': 'our vote this autumn'};2
16;a limitation de l'immigration a-t-elle pour vous la priorité sur le maintien des accords bilatéraux avec l'U;4;''Should we limit immigration from EU?'';;Immigration;"bilateral; EU; immigration";0;{'score': 0.09883003681898117, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};1
17;es personnes sans-papiers devraient-elles pouvoir obtenir plus facilement un statut de séjour régularis;3;''Should undocumented migrants receive a status?'';;Immigration;"undocumented; residence; migrants";0;{'score': 0.055587757378816605, 'start': 5171, 'end': 5200, 'answer': 'responsibility of our country'};2
18;tes-vous en faveur d'un durcissement supplémentaire du droit à l'asil;3;''Are you in favor of asylum?'';;Immigration;asylum;0;{'score': 0.32895293831825256, 'start': 5570, 'end': 5588, 'answer': 'we seem reasonable'};2
19;es conditions de naturalisation devraient-elles être revues à la hauss;3;''Should the conditions for naturaliation be increased?'';;Immigration;naturalisation;0;{'score': 0.07265425473451614, 'start': 5676, 'end': 5746, 'answer': 'climate change is the human influence are not a myth it is time to act'};2
20;a Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégratio;2;"""Should we support foreigner integration?""";;Immigration;integration;1;{'score': 0.12956246733665466, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};2
21;a consommation de cannabis devrait-elle être légalisée;2;"""Should cannabis be legal?""";;Society;cannabis;1;{'score': 0.16684816777706146, 'start': 2671, 'end': 2710, 'answer': 'there is a legal basis for this support'};1
22;es couples de même sexe devraient-ils avoir les mêmes droits dans tous les domaines que les couples hétérosexuel;2;"""Do we believe in homosexuality equality?""";;Society;"homosexual; gay";1;{'score': 0.6782804131507874, 'start': 5570, 'end': 5588, 'answer': 'we seem reasonable'};2
23;a réglementation de la procréation médicalement assistée devrait-elle être assoupli;2;' Should the regulation of assisted reproduction be relaxed?'';;Society;reproducation;1;{'score': 0.22125595808029175, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};2
24;tes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femme;2;"""Do you support stricter control of equal pay for men and women?''";;Society;"equal; salaries";1;{'score': 0.24020187556743622, 'start': 5570, 'end': 5588, 'answer': 'we seem reasonable'};2
25;eriez-vous favorable à ce qu'un médecin soit autorisé à administrer l'euthanasie active directe en Suiss;1;"""Should euthanasia be legal?""";;Society;"doctor; euthanasia ";1;{'score': 0.3038462698459625, 'start': 2671, 'end': 2710, 'answer': 'there is a legal basis for this support'};2
26;elon vous, la baisse des impôts au niveau fédéral représente-elle une priorité pour les quatre prochaines année;1;"""Should we lower taxes?""";;Finances;taxes;1;{'score': 0.27321794629096985, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};2
27;tes-vous en faveur d'une nouvelle réduction des contributions versées par les cantons financièrement forts aux cantons financièrement faibles dans le cadre de la péréquation financièr;2;"""Should cantons support each other?""";;Finances;financial equalisation ;1;{'score': 0.23708592355251312, 'start': 2792, 'end': 2841, 'answer': 'The Green Liberals will support the same minority'};1
28;es couples mariés devraient-ils être imposés en tant que personnes individuelles (imposition individuelle;1;"""Do you believe in individual taxation?""";;Finances;"individual taxation; married";1;{'score': 0.35266709327697754, 'start': 5570, 'end': 5588, 'answer': 'we seem reasonable'};2
29;tes-vous en faveur d'une restriction de la concurrence entre les cantons en matière d'imposition des entreprise;4;"""Are you in favor of restricting competition between cantons in the area of corporate taxation?''";;Finances;company taxation;0;{'score': 0.23485738039016724, 'start': 5570, 'end': 5588, 'answer': 'we seem reasonable'};2
30;es ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité);2;"""Should we be a able to choose their electricity supplier?""";;Economy;electricity;1;{'score': 0.09452348202466965, 'start': 5818, 'end': 5851, 'answer': 'not to make any energy transition'};0
31;tes-vous favorable à l'introduction d'un salaire minimum de 4000 CHF pour toutes les personnes salariées pour un poste à plein temp;4;"""Are you in favor of a minimum wage?""";;Economy;wage;0;{'score': 0.5152214765548706, 'start': 5570, 'end': 5588, 'answer': 'we seem reasonable'};2
32;es entreprises suisses devraient-elles être mieux être protégées du risque de rachat par des investisseurs étrangers en introduisant des contrôles sur les investissements;3;"""Should we protect Swiss companies from foreign takeovers?""";;Economy;"FDI; investement controls; takeovers";0;{'score': 0.06692256033420563, 'start': 8180, 'end': 8212, 'answer': 'in order to save its money doors'};2
33;eriez-vous favorable à une libéralisation complète des heures d'ouverture des magasin;1;"""Should stores choose their opening hours?""";;Economy;"opening hours; shops";1;{'score': 0.12573179602622986, 'start': 8180, 'end': 8212, 'answer': 'in order to save its money doors'};2
34;aut-il renforcer la protection contre le licenciement des travailleuses et travailleurs plus âgé·e·s;3;"""Should the protection against dismissal of older workers be strengthened? ''";;Economy;"dismissal; workers";0;{'score': 0.045572202652692795, 'start': 5756, 'end': 5774, 'answer': 'you will tell your'};2
35;a Confédération devrait-elle davantage soutenir l'offre des services publics (p. ex. transports publics, poste) dans les régions rurale;4;"""Should we support public services in rural areas?""";;Economy;"public services; post office";0;{'score': 0.0881044939160347, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};2
36;'expansion du réseau mobile selon la norme 5G doit-elle se poursuivre;1;"""Should we expand our 5G network?""";;Digitalisation;5G;1;{'score': 0.11256193369626999, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};2
37;"es plateformes de services en ligne (p. ex. hébergement ""Airbnb"" ou taxis ""Uber"") devraient-elles être réglementées plus strictemen";3;"""Should we regulate online platforms?""";;Digitalisation;"Uber; Airbnb; online";0;{'score': 0.20636813342571259, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};2
38;ne initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette propositio;1;"""Do you want to stop using fossil fuels?''";;Energy;"fossil; 2050; fuel";1;{'score': 0.1508442759513855, 'start': 5804, 'end': 5851, 'answer': 'if you decide not to make any energy transition'};2
39;ctuellement, une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence, diesel, etc.;1;"""Should fuel be taxed?""";;Energy;"C02; natural gas";1;{'score': 0.09026100486516953, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};2
40;a Confédération devrait-elle soutenir davantage les énergies renouvelable;1;"""Should we support renewable energies?""";;Energy;"renewable; energy";1;{'score': 0.21785086393356323, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};2
41;es tronçons autoroutiers à forte fréquentation devraient-ils être étendus à six voie;4;"""Should high-traffic highway sections be extended to six lanes?''";;Energy;"motorway; lanes";0;{'score': 0.04735597223043442, 'start': 3134, 'end': 3171, 'answer': 'extension of the use of leopard tanks'};2
42;"tes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentée";2;"""Do you support the introduction of road pricing on busy roads?""";;Energy;road pricing;1;{'score': 0.19228164851665497, 'start': 5756, 'end': 5774, 'answer': 'you will tell your'};2
43;tes-vous favorable à un assouplissement des mesures actuelles de protection des grands prédateurs (lynx, loup, ours;4;"""'Are you in favor of relaxing the current protection measures for large predators?''";;Ecology;"predators; lynx; wolf; bears";0;{'score': 0.3598422408103943, 'start': 5570, 'end': 5588, 'answer': 'we seem reasonable'};2
44;e moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 202;1;'Should the current moratorium on genetically modified plants and animals be extended?'';;Ecology;"plants; genetically modified ";1;{'score': 0.11661330610513687, 'start': 3158, 'end': 3171, 'answer': 'leopard tanks'};2
45;es paiements directs devraient-ils être accordés qu'aux exploitations agricoles qui fournissent un bilan écologique étendu (p. ex. renoncement à l'utilisation des pesticides de synthèse et limitation de l'utilisation d'antibiotiques;2;"'Should direct payments only be granted to farms that provide an ecological balance sheet ?""";;Ecology;"ecological; farms; pesticides";1;{'score': 0.06043821945786476, 'start': 6856, 'end': 6868, 'answer': 'subsidiarity'};2
46;aut-il étendre les mesures de protection de la biodiversité (p. ex. des règles plus strictes pour la construction en dehors des zones à bâtir existantes;2;"""Should biodiversity protection measures be extended?""";;Ecology;biodiversity;1;{'score': 0.11795111745595932, 'start': 5676, 'end': 5746, 'answer': 'climate change is the human influence are not a myth it is time to act'};2
47;tes-vous en faveur de réglementations plus strictes de la protection des animaux pour la détention d'animaux de rente (p. ex. l'accès permanent aux espaces extérieurs;2;"""Do you support stricter animal protection regulations for keeping livestock?"" ";;Ecology;"animal protection; livestock";1;{'score': 0.2213502675294876, 'start': 5756, 'end': 5774, 'answer': 'you will tell your'};2
48;e financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent;2;""" Should campaign financing be transparent? ''";;Politics;"campaign funding; transparency;";1;{'score': 0.1204105094075203, 'start': 8180, 'end': 8256, 'answer': 'in order to save its money doors without being looking at the sustainability'};2
49;'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivi;3;"""Do you support e-voting?""";;Politics;"e-voting; votes";0;{'score': 0.22673381865024567, 'start': 6885, 'end': 6905, 'answer': 'our vote this autumn'};2
50;tes-vous en faveur de l'abaissement de l'âge de vote à 16 an;3;"""Should voting at 16 be allowed""";;Politics;"voting age; 16";0;{'score': 0.06023477017879486, 'start': 6885, 'end': 6905, 'answer': 'our vote this autumn'};2
51;a Suisse devrait-elle mettre fin à l'accord de Schengen avec l'UE et réintroduire davantage de contrôles directement aux frontière;4;"""Should Switzerland end Shengen?""";;Security;"border control; schengen";0;{'score': 0.13884927332401276, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};2
52;aut-il renoncer au durcissement des conditions d'admission au service civil proposé par le Conseil fédéra;2;"'Should the Federal Council's proposed tightening of the conditions for admission to civilian service be abandoned?""";;Security;civil service;1;{'score': 0.1501319855451584, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};2
53;aut-il interdire l'exportation de matériel de guerre produit en Suisse;3;"""Should we export war material?""";;Security;"war material; weapons";0;{'score': 0.06011000648140907, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};2
54;tes-vous favorable à l'acquisition de nouveaux avions de combat pour l'armée suisse;2;"""Are you in favor of acquiring new fighter aircraft ? ''";;Security;"aircraft; swiss army";1;{'score': 0.29630938172340393, 'start': 5570, 'end': 5588, 'answer': 'we seem reasonable'};2
55;elon vous, les moyens légaux permettant de recourir à lanalyse ADN lors denquêtes devraient-ils être étendu;2;"""Should we do more DNA analysis?""";;Security;dann;1;{'score': 0.027850601822137833, 'start': 8616, 'end': 8641, 'answer': 'biocides in the paintings'};2
56;a Suisse doit-elle entamer des négociations d'adhésion à l'Union européenne;4;"""Should Switzerland enter the European Union?""";;external_relations;EU negotiations;0;{'score': 0.05847549811005592, 'start': 5642, 'end': 5667, 'answer': 'not to enter into matters'};2
57;a Suisse devrait-elle conclure un accord de libre-échange avec les Etats-Unis;2;"""Should Switzerlad have a free trade agreement with the USA?""";;external_relations;"trade; USA ";1;{'score': 0.11681962013244629, 'start': 3158, 'end': 3171, 'answer': 'leopard tanks'};2
58;ne initiative demande que les règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger soient renforcées. Soutenez-vous cette proposition;4;"""Should Swiss companies have human rights and environmental standards?""";;external_relations;"human rights; environment";0;{'score': 0.2323485016822815, 'start': 5676, 'end': 5728, 'answer': 'climate change is the human influence are not a myth'};2
59;tes-vous en faveur de la candidature de la Suisse à un siège au Conseil de sécurité de l'ON;1;"""Should Switzerland have a seat in the UN Security council?""";;external_relations;security council;1;{'score': 0.0892895832657814, 'start': 5113, 'end': 5148, 'answer': 'the Vatican certainly provides them'};2
