questions;smartvote_answers;Simplified question;;Topic;Keywords
1. Êtes-vous favorable à une hausse de l'âge de la retraite (p. ex. à 67 ans)?;1;''Are you in favour of raising the retirement age?'';;Family;"pension; AHV; AVS"
2. L'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familial?;4;''Should the state support childcare? '';;Family;"benefit; childcare; nursery"
3. Une initiative demande l'instauration d'un congé paternité payé de quatre semaines. Êtes-vous en faveur de cette proposition?;4;''Are you in favour of a paternity leave?'';;Family;"paternity; leave "
4. Les rentes de la caisse de pension doivent-elles être adaptées à l'allongement de l'espérance de vie (réduction du taux de conversion)?;4;''Should the finance state pension funds?'';;Family;"pension; life expectancy"
5. Soutenez-vous les efforts au niveau des cantons visant à réduire les prestations d'aide sociale?;1;''Are you in favor of benefits?'';;Family;"benefits; social assistance"
6. La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?;4;''Are you in favor of public housing?'';;Family;"social housing; construction; public housing"
1. Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)? ;4;''Should the health insurance cost more'';;Health;"health cost; health care cost; premium"
2. Approuveriez-vous le principe du consentement présumé pour le don d’organes?;1;''Is organ donation good?'';;Health;"organ; donation"
3. Une vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instaurée?;4;''Should vaccines be compulsory? '';;Health;"vaccine; vaccination"
4. Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?;4;''Should health be proportional to your income?'';;Health;"insurance; premium; subsidies"
5. Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?;1;''Should health care costs be reduced?'';;Health;"cost brake; health care cost"
1. L’État devrait-il davantage s’engager pour une égalité des chances en matière de formation (p. ex. par des cours de rattrapage subventionnés destinés aux élèves issus de familles à faible revenu)?;1;''Should we care about education opportunities?'';;Education;"education opportunities; subsidies; courses"
2. Pensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle)?;4;''Should schools exempts classes?'';;Education;"religion; sex education"
3. La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?;4;''Should education have more funding?'';;Education;"education support; reconversion"
4. Le concept de l'école intégrative prévoit que les enfants ayant des difficultés d'apprentissage ou des handicaps soient scolarisé·e·s dans des classes ordinaires. Soutenez-vous cette approche?;4;''Do you support inclusive schools?'';;Education;"learning; school; disabilities"
1. Seriez-vous favorable à ce que le droit de vote et d'élection soit introduit au niveau communal pour les personnes étrangères qui résident en Suisse depuis au moins dix ans? ;4;'Should foreigners vote?'';;Immigration;"vote; resident; communal elections"
2. La limitation de l'immigration a-t-elle pour vous la priorité sur le maintien des accords bilatéraux avec l'UE?;1;''Should we limit immigration from EU?'';;Immigration;"bilateral; EU; immigration"
3. Les personnes sans-papiers devraient-elles pouvoir obtenir plus facilement un statut de séjour régularisé?;4;''Should undocumented migrants receive a status?'';;Immigration;"undocumented; residence; migrants"
4. Êtes-vous en faveur d'un durcissement supplémentaire du droit à l'asile?;1;''Are you in favor of asylum?'';;Immigration;asylum
5. Les conditions de naturalisation devraient-elles être revues à la hausse?;1;''Should the conditions for naturaliation be increased?'';;Immigration;naturalisation
6. La Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégration?;4;"""Should we support foreigner integration?""";;Immigration;integration
1. La consommation de cannabis devrait-elle être légalisée? ;4;"""Should cannabis be legal?""";;Society;cannabis
2. Les couples de même sexe devraient-ils avoir les mêmes droits dans tous les domaines que les couples hétérosexuels?;1;"""Do we believe in homosexuality equality?""";;Society;"homosexual; gay"
3. La réglementation de la procréation médicalement assistée devrait-elle être assouplie?;4;' Should the regulation of assisted reproduction be relaxed?'';;Society;reproducation
4. Êtes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femmes?;4;"""Do you support stricter control of equal pay for men and women?''";;Society;"equal; salaries"
5. Seriez-vous favorable à ce qu'un médecin soit autorisé à administrer l'euthanasie active directe en Suisse?;1;"""Should euthanasia be legal?""";;Society;"doctor; euthanasia "
1. Selon vous, la baisse des impôts au niveau fédéral représente-elle une priorité pour les quatre prochaines années?;1;"""Should we lower taxes?""";;Finances;taxes
2. Êtes-vous en faveur d'une nouvelle réduction des contributions versées par les cantons financièrement forts aux cantons financièrement faibles dans le cadre de la péréquation financière?;1;"""Should cantons support each other?""";;Finances;financial equalisation 
3. Les couples mariés devraient-ils être imposés en tant que personnes individuelles (imposition individuelle)?;4;"""Do you believe in individual taxation?""";;Finances;"individual taxation; married"
4. Êtes-vous en faveur d'une restriction de la concurrence entre les cantons en matière d'imposition des entreprises?;4;"""Are you in favor of restricting competition between cantons in the area of corporate taxation?''";;Finances;company taxation
1. Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)? ;1;"""Should we be a able to choose their electricity supplier?""";;Economy;electricity
2. Êtes-vous favorable à l'introduction d'un salaire minimum de 4’000 CHF pour toutes les personnes salariées pour un poste à plein temps?;4;"""Are you in favor of a minimum wage?""";;Economy;wage
3. Les entreprises suisses devraient-elles être mieux être protégées du risque de rachat par des investisseurs étrangers en introduisant des contrôles sur les investissements? ;2;"""Should we protect Swiss companies from foreign takeovers?""";;Economy;"FDI; investement controls; takeovers"
4. Seriez-vous favorable à une libéralisation complète des heures d'ouverture des magasins?;1;"""Should stores choose their opening hours?""";;Economy;"opening hours; shops"
5. Faut-il renforcer la protection contre le licenciement des travailleuses et travailleurs plus âgé·e·s? ;4;"""Should the protection against dismissal of older workers be strengthened? ''";;Economy;"dismissal; workers"
6. La Confédération devrait-elle davantage soutenir l'offre des services publics (p. ex. transports publics, poste) dans les régions rurales?;1;"""Should we support public services in rural areas?""";;Economy;"public services; post office"
1. L'expansion du réseau mobile selon la norme 5G doit-elle se poursuivre? ;1;"""Should we expand our 5G network?""";;Digitalisation;5G
"2. Les plateformes de services en ligne (p. ex. hébergement ""Airbnb"" ou taxis ""Uber"") devraient-elles être réglementées plus strictement?";4;"""Should we regulate online platforms?""";;Digitalisation;"Uber; Airbnb; online"
1. Une initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette proposition?;4;"""Do you want to stop using fossil fuels?''";;Energy;"fossil; 2050; fuel"
2. Actuellement, une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence, diesel, etc.)?;4;"""Should fuel be taxed?""";;Energy;"C02; natural gas"
3. La Confédération devrait-elle soutenir davantage les énergies renouvelables?;4;"""Should we support renewable energies?""";;Energy;"renewable; energy"
4. Les tronçons autoroutiers à forte fréquentation devraient-ils être étendus à six voies?;1;"""Should high-traffic highway sections be extended to six lanes?''";;Energy;"motorway; lanes"
"5. Êtes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentées?";4;"""Do you support the introduction of road pricing on busy roads?""";;Energy;road pricing
1. Êtes-vous favorable à un assouplissement des mesures actuelles de protection des grands prédateurs (lynx, loup, ours)?;1;"""'Are you in favor of relaxing the current protection measures for large predators?''";;Ecology;"predators; lynx; wolf; bears"
2. Le moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 2021?;4;'Should the current moratorium on genetically modified plants and animals be extended?'';;Ecology;"plants; genetically modified "
3. Les paiements directs devraient-ils être accordés qu'aux exploitations agricoles qui fournissent un bilan écologique étendu (p. ex. renoncement à l'utilisation des pesticides de synthèse et limitation de l'utilisation d'antibiotiques)?;4;"'Should direct payments only be granted to farms that provide an ecological balance sheet ?""";;Ecology;"ecological; farms; pesticides"
4. Faut-il étendre les mesures de protection de la biodiversité (p. ex. des règles plus strictes pour la construction en dehors des zones à bâtir existantes)?;4;"""Should biodiversity protection measures be extended?""";;Ecology;biodiversity
5. Êtes-vous en faveur de réglementations plus strictes de la protection des animaux pour la détention d'animaux de rente (p. ex. l'accès permanent aux espaces extérieurs)?;4;"""Do you support stricter animal protection regulations for keeping livestock?"" ";;Ecology;"animal protection; livestock"
1. Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent? ;4;""" Should campaign financing be transparent? ''";;Politics;"campaign funding; transparency;"
2. L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?;4;"""Do you support e-voting?""";;Politics;"e-voting; votes"
3. Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?;4;"""Should voting at 16 be allowed""";;Politics;"voting age; 16"
1. La Suisse devrait-elle mettre fin à l'accord de Schengen avec l'UE et réintroduire davantage de contrôles directement aux frontières?;1;"""Should Switzerland end Shengen?""";;Security;"border control; schengen"
2. Faut-il renoncer au durcissement des conditions d'admission au service civil proposé par le Conseil fédéral?;4;"'Should the Federal Council's proposed tightening of the conditions for admission to civilian service be abandoned?""";;Security;civil service
3. Faut-il interdire l'exportation de matériel de guerre produit en Suisse? ;4;"""Should we export war material?""";;Security;"war material; weapons"
4. Êtes-vous favorable à l'acquisition de nouveaux avions de combat pour l'armée suisse? ;1;"""Are you in favor of acquiring new fighter aircraft ? ''";;Security;"aircraft; swiss army"
5. Selon vous, les moyens légaux permettant de recourir à l’analyse ADN lors d’enquêtes devraient-ils être étendus?;1;"""Should we do more DNA analysis?""";;Security;dann
1. La Suisse doit-elle entamer des négociations d'adhésion à l'Union européenne? ;4;"""Should Switzerland enter the European Union?""";;external_relations;EU negotiations
2. La Suisse devrait-elle conclure un accord de libre-échange avec les Etats-Unis? ;1;"""Should Switzerlad have a free trade agreement with the USA?""";;external_relations;"trade; USA "
3. Une initiative demande que les règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger soient renforcées. Soutenez-vous cette proposition? ;4;"""Should Swiss companies have human rights and environmental standards?""";;external_relations;"human rights; environment"
4. Êtes-vous en faveur de la candidature de la Suisse à un siège au Conseil de sécurité de l'ONU?;4;"""Should Switzerland have a seat in the UN Security council?""";;external_relations;security council
